lesson_id;day_number;lesson_number;lesson_week;lesson_name;teacher_name;lesson_type;lesson_class;time_start;time_end;online;choice
1;1;2;1;Електродинаміка;Саурова Тетяна Асадовна;Прак;409-12;10:25:00;12:00:00;true;false
2;1;2;1;Електродинаміка;Савін Костянтин Георгійович;Прак;409-12;10:25:00;12:00:00;true;false
3;1;3;1;Наноелектроніка;Воронько А. О.;Прак;-;12:20:00;13:55:00;true;false
4;1;4;1;Теорія сигналів та систем;Карплюк Євгеній Сергійович;Лаб;427-12;14:15:00;15:50:00;true;false
5;2;2;1;Технологія інтегральних мікросхем;Воронько А. О.;Прак;138-12;10:25:00;12:00:00;true;false
6;2;3;1;Мікромеханіка;Лупина Борис Іванович;Прак;134-12;12:20:00;13:55:00;true;false
7;2;4;1;Іноземна мова професійного спрямування. Частина 1;Гордієнко Наталія Миколаївна;Прак;-;14:15:00;15:50:00;true;false
8;3;1;1;Теорія сигналів та систем;Попов Антон Олександрович;Лек;-;8:30:00;10:05:00;true;false
9;3;1;1;Теорія сигналів та систем;Іванько Катерина Олегівна;Лек;-;8:30:00;10:05:00;true;false
10;3;2;1;Наноелектроніка;Вербицький Володимир Григорович;Лек;-;10:25:00;12:00:00;true;false
11;3;3;1;Наноелектроніка;Вербицький Володимир Григорович;Лек;-;12:20:00;13:55:00;true;false
12;3;4;1;Надійність електронної апаратури;Королевич Любомир Миколайович;Лек;-;14:15:00;15:50:00;true;false
13;3;5;1;Технологія інтегральних мікросхем;Мачулянський Олександр Вікторович;Лек;-;16:10:00;17:45:00;true;false
14;4;1;1;Електродинаміка;Савін Костянтин Георгійович;Лек;-;8:30:00;10:05:00;true;false
15;4;2;1;Електродинаміка;Савін Костянтин Георгійович;Лек;-;10:25:00;12:00:00;true;false
16;4;3;1;Технологічні основи електроніки;Мачулянський Олександр Вікторович;Лек;-;12:20:00;13:55:00;true;false
17;4;4;1;Мікроелектроніка;Мачулянський Олександр Вікторович;Лек;-;14:15:00;15:50:00;true;false
18;4;5;1;Мікромеханіка;Лупина Борис Іванович;Лек;-;16:10:00;17:45:00;true;false
19;1;2;2;Теорія сигналів та систем;Карплюк Євгеній Сергійович;Прак;409-12;10:25:00;12:00:00;true;false
20;1;3;2;Наноелектроніка;Воронько А. О.;Прак;-;12:20:00;13:55:00;true;false
21;1;4;2;Технологічні основи електроніки;Мачулянський Олександр Вікторович;Прак;134-12;14:15:00;15:50:00;true;false
22;2;2;2;Надійність електронної апаратури;Королевич Любомир Миколайович;Прак;138-12;10:25:00;12:00:00;true;false
23;2;3;2;Мікроелектроніка;Королевич Любомир Миколайович;Прак;134-12;12:20:00;13:55:00;true;false
24;2;4;2;Іноземна мова професійного спрямування. Частина 1;Гордієнко Наталія Миколаївна;Прак;-;14:15:00;15:50:00;true;false
25;3;1;2;Теорія сигналів та систем;Попов Антон Олександрович;Лек;-;8:30:00;10:05:00;true;false
26;3;1;2;Теорія сигналів та систем;Іванько Катерина Олегівна;Лек;-;8:30:00;10:05:00;true;false
27;3;2;2;Наноелектроніка;Вербицький Володимир Григорович;Лек;-;10:25:00;12:00:00;true;false
28;3;3;2;Надійність електронної апаратури;Королевич Любомир Миколайович;Лек;-;12:20:00;13:55:00;true;false
29;3;4;2;Технологія інтегральних мікросхем;Мачулянський Олександр Вікторович;Лек;-;14:15:00;15:50:00;true;false
30;4;1;2;Електродинаміка;Савін Костянтин Георгійович;Лек;-;8:30:00;10:05:00;true;false
31;4;2;2;Технологічні основи електроніки;Мачулянський Олександр Вікторович;Лек;-;10:25:00;12:00:00;true;false
32;4;3;2;Мікроелектроніка;Мачулянський Олександр Вікторович;Лек;-;12:20:00;13:55:00;true;false
33;4;4;2;Мікромеханіка;Лупина Борис Іванович;Лек;-;14:15:00;15:50:00;true;false
